 name Chinese math English physics Chemistry Biology politics History Geography
A1 73 85 80 82 93 41 64 87 55
B1 33 91 81 92 72 50 50 65 83
C1 95 64 87 79 34 70 45 72 87
D1 87 34 81 58 73 41 46 74 97
E1 54 58 66 65 42 43 70 33 89
F1 55 83 80 94 90 86 44 33 64
G1  84 93 59 94 86 71 69 81 71
H1 75 83 31 53 72 34 33 64 80
I1  36 74 83 69 57 78 73 59 58
J1  98 90 64 71 90 65 40 33 89
K1  90 47 70 34 88 73 69 74 60
L1 70 67 33 96 94 69 62 72 72
M1 82 43 63 70 60 67 54 69 92
N1 94 95 72 86 78 78 43 95 96
O1 83 70 36 74 50 56 38 93 78
P1  86 93 87 46 75 44 45 60 81
Q1 97 91 88 86 86 54 61 56 82
I1 47 51 64 78 89 91 37 94 61
S1 74 67 63 53 34 89 56 66 76
T1 50 72 99 31 38 92 62 92 65
U1 86 40 86 57 76 92 79 95 52
V1 51 33 81 48 95 80 51 81 99
W1 88 74 38 48 78 87 96 88 90
X1 43 87 44 88 95 78 91 42 94
Y1 37 86 88 83 80 90 31 78 37
Z1 63 53 55 94 45 55 73 91 78
A2 36 71 77 60 91 79 90 37 61
B2 53 85 85 72 62 87 94 73 34
C2 78 84 77 42 79 82 50 74 94
D2 75 57 38 85 58 60 97 99 69
